ue_id,ue_x,ue_y,alloc_enb,rsrq
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.95,1552.06,19,-10.9208
0,1691.06,1554.88,19,-10.9838
0,1691.18,1560.1,19,-11.1065
0,1691.23,1567.17,19,-11.2829
0,1691.25,1576.71,19,-11.5335
0,1689.94,1587.79,19,-11.8789
0,1687.05,1601.12,19,-12.347
0,1683.43,1614.41,19,-12.8452
0,1679.56,1628.64,19,-13.3871
0,1676.01,1641.7,19,-13.891
0,1672.46,1654.76,19,-14.4003
0,1669.07,1668.11,19,-14.9197
0,1665.43,1681.85,19,-15.4628
0,1661.57,1695.24,19,-16.0033
0,1657.07,1708.66,19,-16.5629
0,1652.93,1721.62,19,-17.1005
0,1649.67,1734.86,19,-17.6297
0,1647.18,1744.98,19,-18.0359
0,1646.24,1751.43,19,-18.2812
0,1650.17,1755.15,19,-18.3262
0,1655.68,1756.62,19,-18.2614
0,1662.59,1758.44,19,-18.1844
0,1671.12,1760.69,19,-18.0971
0,1682.11,1763.58,19,-17.9973
0,1694.99,1766.97,19,-17.8993
0,1708.49,1770.52,19,-17.8188
0,1722.67,1774.25,19,-17.7593
0,1735.98,1777.76,19,-17.7275
0,1749.9,1781.42,19,-17.7183
0,1763.46,1784.99,19,-17.7338
0,1776.76,1788.49,19,-17.7722
0,1790.16,1792.01,19,-17.8335
0,1799.2,1794.39,19,-17.8881
0,1803.89,1795.63,19,-17.9206
0,1810.53,1797.36,19,-17.9704
0,1819.66,1799.75,19,-18.0481
0,1830.43,1802.55,19,-18.152
0,1842.89,1805.79,19,-18.2894
0,1856.28,1809.28,19,-18.4573
0,1869.33,1812.68,19,-18.6401
0,1883.2,1816.3,19,-18.8548
0,1896.47,1819.75,19,-19.0782
0,1910.63,1823.44,19,-19.336
